id,student_id,attendance_date,seen_at,status,source,created_at
2cb45917-86cd-48bd-8ae2-8ee52c97d332,45ba3e03-5d67-4d5f-8a2f-214bea59956d,2026-08-27,2026-08-27 10:41:46+00,present,rfid,2026-08-27 10:41:47.231593+00
5c324490-ac0e-41b4-b1b2-c7cc530c69ee,1d5317b6-34dc-4d5b-89f8-cca0cca705d8,2026-08-27,2026-08-27 10:41:42+00,present,rfid,2026-08-27 10:41:43.246462+00
c3969f82-bacd-433d-89cc-57f4aad446e6,f3f39ca3-1bd7-4987-877f-737dad58ffe0,2026-08-27,2026-08-27 10:43:53.249404+00,absent,auto,2026-08-27 10:43:53.249404+00
